id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
244289,unc-33(mn407) 25C,0.85,2.96,8,11,0,8,5,2,0,0,0.425,1.48,1.905,8,1,9,8,4,5.5,0,5.5,4,2.5,1,3.5,0,0,"AMH57 25C, animal 17.oir",25°C,unc-33(mn407)
258713,unc-33(mn407) 25C,0.29,4.83,2,1,1,14,10,4,0,0,0.145,2.415,2.56,5.5,2.5,8,8,1,0.5,0.5,1,7,5,2,7,0,0,"AMH57 25C, animal 16.oir",25°C,unc-33(mn407)
259293,unc-33(mn407) 25C,0.94,3.2,5,4,2,9,7,2,0,0,0.47,1.6,2.07,5.5,2,7.5,7,2.5,2,1,3,4.5,3.5,1,4.5,0,0,"AMH57 25C, animal 22.oir",25°C,unc-33(mn407)
260609,unc-33(mn407) 25C,2.87,4.85,9,8,6,10,13,5,0,0,1.435,2.425,3.86,10.5,5.5,16,9.5,4.5,4,3,7,5,6.5,2.5,9,0,0,"AMH57 25C, animal 30.oir",25°C,unc-33(mn407)
304230,unc-33(mn407) 25C,0.47,3.7,2,2,0,11,6,5,0,0,0.235,1.85,2.085,4,2.5,6.5,6.5,1,1,0,1,5.5,3,2.5,5.5,0,0,"AMH57 25C, animal 27.oir",25°C,unc-33(mn407)
307132,unc-33(mn407) 25C,0.34,4.63,4,2,2,14,8,5,1,0,0.17,2.315,2.485,5,3.5,8.5,9,2,1,1,2,7,4,2.5,6.5,0.5,0,"AMH57 25C,  animal 28.oir",25°C,unc-33(mn407)
315518,unc-33(mn407) 25C,1.51,1.91,9,6,3,8,6,4,1,0,0.755,0.955,1.71,6,3.5,9.5,8.5,4.5,3,1.5,4.5,4,3,2,5,0.5,0,"AMH57 25C, animal 2.oir",25°C,unc-33(mn407)
317943,unc-33(mn407) 25C,0,3.05,0,0,0,7,4,3,0,0,0,3.05,3.05,4,3,7,7,0,0,0,0,7,4,3,7,0,0,"AMH57 25C, animal 3.oir",25°C,unc-33(mn407)
336081,unc-33(mn407) 25C,0.16,2.36,1,1,0,10,9,3,1,0,0.08,1.18,1.26,5,1.5,6.5,5.5,0.5,0.5,0,0.5,5,4.5,1.5,6,0.5,0,"AMH57 25C, animal 31.oir",25°C,unc-33(mn407)
337049,unc-33(mn407) 25C,0.08,2.56,2,0,2,5,3,3,0,0,0.08,2.56,2.64,3,5,8,7,2,0,2,2,5,3,3,6,0,0,"AMH57 25C, animal 12.oir",25°C,unc-33(mn407)
