id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
165798,unc-33(e204) 20C,0.19,2.67,2,2,0,10,8,2,1,0,0.095,1.335,1.43,5,1,6,6,1,1,0,1,5,4,1,5,0.5,0,"AMH59 20C, animal 10.oir",20°C,unc-33(e204)
410993,unc-33(e204) 20C,0.19,4.19,2,2,0,14,11,3,0,0,0.095,2.095,2.19,6.5,1.5,8,8,1,1,0,1,7,5.5,1.5,7,0,0,"AMH59 20C, animal 129.1.oir",20°C,unc-33(e204)
525365,unc-33(e204) 20C,0.02,3.13,1,1,1,14,5,10,1,0,0.02,3.13,3.15,6,11,17,15,1,1,1,2,14,5,10,15,1,0,"AMH59 20C, animal 101.oir",20°C,unc-33(e204)
552089,unc-33(e204) 20C,0.18,1.96,2,2,0,9,7,2,1,0,0.09,0.98,1.07,4.5,1,5.5,5.5,1,1,0,1,4.5,3.5,1,4.5,0.5,0,"AMH59 20C, animal 121.oir",20°C,unc-33(e204)
998959,unc-33(e204) 20C,0.21,4.19,2,2,0,11,12,1,0,0,0.105,2.095,2.2,7,0.5,7.5,6.5,1,1,0,1,5.5,6,0.5,6.5,0,0,"AMH59 20C, animal 111.oir",20°C,unc-33(e204)
495522,unc-33(e204) 20C,0.37,2.16,1,2,0,4,3,2,0,0,0.37,2.16,2.53,5,2,7,3,1,2,0,2,2,3,2,5,0,0,"AMH59 20C, animal 9.oir",20°C,unc-33(e204)
628365,unc-33(e204) 20C,0.5,3.95,4,4,0,19,12,7,0,0,0.25,1.975,2.225,8,3.5,11.5,11.5,2,2,0,2,9.5,6,3.5,9.5,0,0,"AMH59 20C, animal 102.oir",20°C,unc-33(e204)
645333,unc-33(e204) 20C,0.64,1.82,5,4,1,7,5,4,2,0,0.32,0.91,1.23,4.5,2.5,7,6,2.5,2,0.5,2.5,3.5,2.5,2,4.5,1,0,"AMH59 20C, animal 106.oir",20°C,unc-33(e204)
721555,unc-33(e204) 20C,0.06,0.99,2,2,0,6,6,0,0,0,0.06,0.99,1.05,8,0,8,8,2,2,0,2,6,6,0,6,0,0,"AMH59 20C, animal 12.oir",20°C,unc-33(e204)
783479,unc-33(e204) 20C,0.22,2.23,4,4,0,11,10,1,1,0,0.11,1.115,1.225,7,0.5,7.5,7.5,2,2,0,2,5.5,5,0.5,5.5,0.5,0,"AMH59 20C, animal 128.oir",20°C,unc-33(e204)
923862,unc-33(e204) 20C,0.41,1.18,4,4,0,5,4,1,0,0,0.205,0.59,0.795,4,0.5,4.5,4.5,2,2,0,2,2.5,2,0.5,2.5,0,0,"AMH59 20C, animal 125.oir",20°C,unc-33(e204)
224355,unc-33(e204) 20C,0.58,2.86,5,5,0,13,10,3,0,0,0.29,1.43,1.72,7.5,1.5,9,9,2.5,2.5,0,2.5,6.5,5,1.5,6.5,0,0,"AMH59 20C, animal 132.oir",20°C,unc-33(e204)
